hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
etc,86,29,19,14,5,6,13
15,86,18,13,22,3,17,13
gespräch,86,23,19,17,1,15,11
einzig,86,11,10,22,6,12,25
reichen,85,6,17,28,6,19,9
alle,85,10,18,28,4,11,14
geldwäsche,85,15,28,33,1,3,5
entscheidung,85,17,25,17,2,17,7
zb,85,15,14,35,1,12,8
kaufen,85,5,10,40,9,9,12
völlig,85,10,14,30,6,8,17
soli,84,9,13,13,0,22,27
seit,84,13,26,22,4,9,10
zeugen,84,57,6,12,0,7,2
laut,84,12,11,38,6,7,10
von,84,10,22,16,7,11,18
afghanistan,84,8,20,28,5,15,8
politiker,83,6,9,36,10,10,12
münchen,83,7,22,30,0,17,7
schule,83,7,17,29,1,14,15
baerbock,82,13,22,10,18,6,13
pflicht,82,6,19,35,1,15,6
aufklärung,82,24,28,16,0,7,7
mitarbeiter,82,18,14,21,1,9,19
kampf,81,10,18,14,5,22,12
antrag,81,16,18,30,4,3,10
bayer,81,3,34,22,3,9,10
voll,81,14,8,26,5,16,12
de,81,5,6,58,2,2,8
fiu,81,16,12,33,1,2,17
stunde,81,23,13,22,1,13,9
schaden,81,11,22,8,8,15,17
seite,80,11,16,23,6,19,5
direkt,80,23,13,15,6,13,10
global,80,7,17,30,0,20,6
erhöhen,80,9,5,23,4,19,20
usa,80,16,15,24,5,9,11
glauben,79,12,13,28,4,4,18
staatsanwaltschaft,79,12,11,43,0,11,2
grund,79,6,14,20,7,11,21
weil,79,6,17,28,6,12,10
bedeuten,79,8,14,29,4,15,9
politische,79,16,18,13,6,10,16
einsatz,79,22,14,16,1,14,12
nachricht,79,30,10,15,1,16,7
link,79,6,2,40,18,6,7
aus,79,21,13,28,0,7,10
schön,79,22,14,20,1,12,10
beginnen,78,16,16,15,1,19,11
sogar,78,8,11,27,2,14,16
eher,78,11,8,31,6,9,13
tb,78,0,0,0,0,0,78
kennen,78,12,19,22,3,8,14
gesundheit,77,7,15,39,2,9,5
wohnung,77,6,9,30,4,11,17
schutz,77,10,18,18,4,14,13
frei,77,12,4,11,11,14,25
richtig,77,9,16,17,5,11,19
test,76,8,9,21,4,16,18
schnell,76,14,14,12,2,13,21
malen,76,15,13,26,3,10,9
starke,76,20,11,11,4,14,16
schwer,76,13,14,10,4,19,16
sache,76,9,15,23,3,11,15
dann,76,11,14,22,5,13,11
bild,75,10,18,26,8,6,7
bitcoin,75,0,0,58,1,0,16
mann,75,9,15,24,8,15,4
macht,75,3,17,19,14,14,8
nachhaltig,74,11,24,13,1,7,18
dazu,74,14,13,14,1,19,13
hufeld,73,7,9,43,1,2,11
co,73,4,15,40,2,6,6
ökonom,73,4,13,26,4,9,17
pua,73,3,5,36,2,2,25
bundestagswahl,73,19,20,12,2,9,11
dpr,73,38,10,13,0,3,9
obwohl,72,10,21,25,1,7,8
einig,72,11,15,28,1,6,11
profitieren,72,8,15,19,4,15,11
echt,72,7,26,18,3,9,9
erinnern,72,15,16,25,4,9,3
ernst,72,12,20,19,0,7,14
aussage,72,17,17,15,1,5,17
19,72,17,12,17,3,3,20
homeoffice,71,7,32,13,0,11,8
hand,71,10,14,22,4,10,11
wirtschaftlich,71,13,10,16,1,11,20
regeln,71,15,13,26,0,2,15
innovation,71,19,14,8,0,2,28
mieter,71,6,15,25,0,14,11
eigenheim,70,12,5,8,8,1,36
behörde,70,8,21,16,0,9,16
schulde,70,6,5,24,2,7,26
drucken,70,5,10,36,6,6,7
niedrig,70,1,10,31,4,4,20
wasserstoff,70,24,21,7,0,6,12
zuständig,70,23,15,14,1,12,5
arm,70,1,9,36,5,16,3
deutsche,70,15,5,25,9,8,8
nein,69,7,12,15,6,13,16
infrastruktur,69,5,17,20,1,10,16
ob,69,14,11,22,6,9,7
konsequenz,69,10,21,16,2,9,11
bürger,69,8,15,5,14,10,17
ort,69,20,14,13,1,12,9
finanzminister,69,5,13,25,4,5,17
projekt,69,19,11,12,3,15,9
meist,69,6,14,22,10,10,7
haushalt,68,9,16,14,4,2,23
interesse,68,9,20,29,2,4,4
alt,68,4,16,20,5,10,13
spät,68,5,24,13,3,12,11
hart,68,10,10,23,2,12,11
ausbau,68,4,33,10,0,16,5
altmaier,67,3,20,20,1,5,18
versuchen,67,10,17,21,3,7,9
ohne,67,5,12,19,2,10,19
fallen,67,9,11,24,5,9,9
bauen,67,5,15,15,2,7,23
schreiten,67,10,21,10,1,12,13
raus,66,6,16,30,3,6,5
14,66,16,6,18,1,13,12
einsetzen,66,12,11,18,1,13,11
guttenberg,66,3,15,24,0,22,2
durchsetzen,66,8,15,17,3,18,5
jung,66,11,6,9,2,6,32
verfügung,66,20,6,9,3,15,13
gerade,66,10,14,15,3,15,9
korruption,66,3,8,36,8,9,2
wohlstand,66,20,15,2,6,7,16
spannen,66,7,19,16,4,11,9
china,66,7,10,28,3,2,16
weder,65,12,14,13,8,9,9
lufthansa,65,3,7,40,5,7,3
erfolgreich,65,27,9,6,4,10,9
mindestens,65,6,14,21,2,15,7
abschaffen,65,3,8,15,5,13,21
morgen,65,25,8,14,2,6,10
preisen,65,8,12,18,5,6,16
zu,64,10,15,15,4,7,13
mehrheit,64,3,14,30,2,7,8
programm,64,13,7,12,3,14,15
notwendig,64,7,21,16,1,11,8
also,64,13,10,16,1,12,12
fehler,64,10,15,15,5,10,9
blockieren,64,6,20,24,0,11,3
zusätzlich,64,10,10,17,1,8,18
tun,64,10,16,15,2,9,12
pflege,63,7,16,13,0,26,1
legen,63,9,9,22,3,7,13
bürokratie,63,8,4,2,5,1,43
kritik,63,8,13,18,5,4,15
meinen,63,6,11,28,4,3,11
klimakrise,63,0,47,13,0,2,1
umsetzen,63,10,15,9,4,15,10
erst,63,13,5,15,4,11,15
dabei,63,5,12,23,1,9,13
planen,63,6,14,18,5,10,10
gleichzeitig,63,2,17,19,2,12,11
versprechen,62,5,17,13,0,9,18
kommune,62,13,16,12,1,12,8
absurd,62,4,13,28,1,9,7
um,62,13,14,13,1,4,17
oder,62,7,6,21,4,13,11
abend,62,8,11,19,1,9,14
greifen,62,4,9,14,3,14,18
immobilie,62,1,23,13,6,5,14
coronakrise,62,1,10,37,5,4,5
hamburg,62,12,6,31,4,9,0
bitte,61,5,6,31,3,10,6
arbeitsbedingungen,61,3,8,19,1,27,3
