hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
ohne,20,3,3,3,2,6,3
ort,20,2,5,3,2,7,1
außen,20,6,1,2,0,2,9
behörde,20,0,0,10,1,4,5
cl,20,0,0,0,0,0,20
schulde,20,7,1,0,4,0,8
hongkong,20,0,6,0,0,5,9
bedeuten,20,3,6,1,3,4,3
vereinen,20,3,3,1,1,10,2
gefährlich,20,4,4,3,1,4,4
steuer,20,0,1,7,5,1,6
abschottungspolitik,20,0,0,19,0,1,0
datum,20,4,6,2,0,8,0
verbieten,20,2,4,8,1,2,3
70,20,2,5,3,1,7,2
thread,20,4,8,4,0,3,1
