,author_id,count,sum,prop,Nachname,Vorname,Fraktion,Twitter-Name,region,"Name, Vorname",Vorname Nachname,handle,party,parltype,person__in_parlperiod,lcasehandle
67,4097559143,620,2,0.0032258064516129032,Barley,Katarina,,,Bund,"Barley, Katarina",,katarinabarley,spd,Bund,"[18, 19]",katarinabarley
68,143882918,632,2,0.0031645569620253164,Sommer,Helin Evrim,,,Bund,"Sommer, Helin Evrim",,HESommer,linke,Bund,[19],hesommer
69,21197524,327,1,0.0030581039755351682,Lindner,Tobias,,,Bund,"Lindner, Tobias",,tobiaslindner,gruene,Bund,"[17, 18, 19]",tobiaslindner
70,1065899292,1653,5,0.0030248033877797943,Liebich,Stefan,,,Bund,"Liebich, Stefan",,berlinliebich,linke,Bund,"[17, 18, 19]",berlinliebich
71,172269309,343,1,0.0029154518950437317,Brugger,Agnieszka,,,Bund,"Brugger, Agnieszka",,agnieszka_mdb,gruene,Bund,"[17, 18, 19]",agnieszka_mdb
72,39999872,349,1,0.0028653295128939827,Wegner,Kai,,,Bund,"Wegner, Kai",,kaiwegner,cducsu,Bund,"[16, 17, 18, 19]",kaiwegner
73,849012308,373,1,0.002680965147453083,Riexinger,Bernd,,,Bund,"Riexinger, Bernd",,b_riexinger,linke,Bund,[19],b_riexinger
74,277006619,1504,4,0.0026595744680851063,Steineke,Sebastian,,,Bund,"Steineke, Sebastian",,SteinekeCDU,cducsu,Bund,"[18, 19]",steinekecdu
75,1543429536,384,1,0.0026041666666666665,Brandt,Michel,,,Bund,"Brandt, Michel",,michel_brandt_,linke,Bund,[19],michel_brandt_
76,15686106,398,1,0.002512562814070352,Höhn,Matthias,,,Bund,"Höhn, Matthias",,MatthiasHoehn,linke,Bund,[19],matthiashoehn
77,17870195,809,2,0.002472187886279357,Schulz-Asche,Kordula,,,Bund,"Schulz-Asche, Kordula",,K_SA,gruene,Bund,"[18, 19]",k_sa
78,748453543632330752,407,1,0.002457002457002457,Breymaier,Leni,,,Bund,"Breymaier, Leni",,LeniBreymaier,spd,Bund,[19],lenibreymaier
79,810957560723505152,419,1,0.002386634844868735,Bystron,Petr,,,Bund,"Bystron, Petr",,PetrBystronAfD,afd,Bund,[19],petrbystronafd
80,15722010,422,1,0.002369668246445498,Dröge,Katharina,,,Bund,"Dröge, Katharina",,katdro,gruene,Bund,"[18, 19]",katdro
81,1296544153,902,2,0.0022172949002217295,Sattelberger,Thomas,,,Bund,"Sattelberger, Thomas",,th_sattelberger,fdp,Bund,[19],th_sattelberger
82,110368456,1353,3,0.0022172949002217295,Gehring,Kai,,,Bund,"Gehring, Kai",,KaiGehring,gruene,Bund,"[16, 17, 18, 19]",kaigehring
83,111054843,3241,7,0.0021598272138228943,Movassat,Niema,,,Bund,"Movassat, Niema",,NiemaMovassat,linke,Bund,"[17, 18, 19]",niemamovassat
84,475275997,1038,2,0.0019267822736030828,Kuhle,Konstantin,,,Bund,"Kuhle, Konstantin",,KonstantinKuhle,fdp,Bund,[19],konstantinkuhle
85,841412635270762496,522,1,0.0019157088122605363,Weyel,Harald,,,Bund,"Weyel, Harald",,h_weyel,afd,Bund,[19],h_weyel
86,17462171,567,1,0.001763668430335097,Toncar,Florian,,,Bund,"Toncar, Florian",,florian_toncar,fdp,Bund,"[16, 17, 19]",florian_toncar
87,937403112,597,1,0.0016750418760469012,Müller,Claudia,,,Bund,"Müller, Claudia",,GruenClaudia,gruene,Bund,[19],gruenclaudia
88,1425265488,2413,4,0.0016576875259013675,Künast,Renate,,,Bund,"Künast, Renate",,RenateKuenast,gruene,Bund,"[15, 16, 17, 18, 19]",renatekuenast
89,32323724,607,1,0.0016474464579901153,Brantner,Franziska,,,Bund,"Brantner, Franziska",,fbrantner,gruene,Bund,"[18, 19]",fbrantner
90,19108766,620,1,0.0016129032258064516,Özdemir,Cem,,,Bund,"Özdemir, Cem",,cem_oezdemir,gruene,Bund,"[13, 14, 18, 19]",cem_oezdemir
