hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
rechnen,4,2,0,1,1,0,0,0
kriegen,4,3,1,0,0,0,0,0
digital,4,2,0,2,0,0,0,0
team,4,2,0,2,0,0,0,0
klima,4,1,1,2,0,0,0,0
zulassung,4,1,0,2,1,0,0,0
wunderbare,4,0,1,3,0,0,0,0
nennen,4,0,4,0,0,0,0,0
gruppe,4,0,1,3,0,0,0,0
gewalt,4,2,0,2,0,0,0,0
senatorin,4,2,0,0,0,0,2,0
grundschulen,4,1,0,2,0,0,1,0
grundsatz,4,0,0,4,0,0,0,0
nachricht,4,0,0,2,2,0,0,0
ausnehmen,4,0,0,4,0,0,0,0
notwendig,4,0,0,3,0,0,1,0
scheeres,4,2,0,0,0,1,1,0
hört,4,0,1,1,0,1,1,0
risikogruppen,4,3,0,0,0,1,0,0
herz,4,0,1,3,0,0,0,0
zwingen,4,0,0,1,0,0,3,0
scheinen,4,2,1,1,0,0,0,0
2x,4,2,1,1,0,0,0,0
merkel,4,0,3,0,0,0,1,0
wechselunterricht,4,1,0,3,0,0,0,0
info,4,0,0,3,0,0,1,0
außerdem,4,2,0,0,0,2,0,0
gründen,4,0,2,0,0,2,0,0
zahlen,4,0,3,0,0,1,0,0
schulkind,4,0,0,4,0,0,0,0
absolut,4,1,0,3,0,0,0,0
aktuell,4,1,0,3,0,0,0,0
sicher,4,2,0,1,0,1,0,0
schulöffnung,4,3,0,0,0,1,0,0
geschwister,4,0,0,3,0,1,0,0
alleine,4,2,0,2,0,0,0,0
sagen,4,1,0,2,0,1,0,0
auseinander,4,1,0,1,2,0,0,0
noch,4,1,0,2,0,0,1,0
nee,4,1,0,3,0,0,0,0
impfungen,4,0,0,4,0,0,0,0
gesetz,4,0,0,3,0,0,1,0
rollen,4,0,0,2,0,1,1,0
rot,4,0,0,0,0,0,4,0
sicht,4,1,0,2,1,0,0,0
notbetreuung,4,1,0,3,0,0,0,0
am,4,1,0,2,1,0,0,0
september,4,1,1,1,1,0,0,0
abstehen,4,0,0,2,1,0,1,0
gerne,4,0,0,3,0,1,0,0
inzidenzen,4,3,0,1,0,0,0,0
aussehen,4,1,0,3,0,0,0,0
wahrnehmen,4,1,0,2,0,1,0,0
anwohner,4,0,0,1,0,0,3,0
geimpfte,4,0,0,4,0,0,0,0
wann,4,0,0,3,0,0,1,0
schnell,4,1,0,2,0,1,0,0
überlegen,4,0,0,2,0,2,0,0
hoffen,4,2,1,1,0,0,0,0
informieren,4,2,0,2,0,0,0,0
selbsttest,4,3,0,1,0,0,0,0
19,4,1,0,1,2,0,0,0
antrag,4,1,1,1,0,0,1,0
baustein,4,0,0,4,0,0,0,0
richten,4,2,0,1,0,0,1,0
montag,4,1,0,2,0,0,1,0
16,4,2,0,2,0,0,0,0
100,4,1,0,2,1,0,0,0
sogar,4,1,0,2,0,1,0,0
gehen,4,0,0,2,1,1,0,0
2022,4,3,0,0,1,0,0,0
beantragen,4,0,1,2,1,0,0,0
2020,4,2,1,1,0,0,0,0
kiez,3,3,0,0,0,0,0,0
zielen,3,2,1,0,0,0,0,0
neiemand,3,1,0,2,0,0,0,0
studieren,3,0,0,1,2,0,0,0
dankeschön,3,1,0,0,2,0,0,0
meinung,3,1,0,2,0,0,0,0
dann,3,1,0,2,0,0,0,0
unverantwortlich,3,0,0,0,1,0,2,0
guten,3,0,1,1,1,0,0,0
milliarde,3,1,1,0,0,0,1,0
bundestag,3,0,1,2,0,0,0,0
person,3,0,0,3,0,0,0,0
verhältnis,3,2,0,0,1,0,0,0
infektion,3,1,0,1,0,0,1,0
verhindern,3,3,0,0,0,0,0,0
per,3,1,0,2,0,0,0,0
schwierig,3,3,0,0,0,0,0,0
kid,3,0,0,3,0,0,0,0
unterschied,3,0,0,2,0,1,0,0
antwort,3,2,0,1,0,0,0,0
laschet,3,0,0,2,0,1,0,0
stecken,3,3,0,0,0,0,0,0
