,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-02-25,0.23333333333333334,0.06666666666666667,0.13333333333333333,0.7333333333333333,0.7333333333333333,,0.1,0.011337406388380898,0.02333333333333333,0.008080099735078696,0.01635405656901657,0.01304361625497071,,0.0101010101010101
2021-02-26,0.23333333333333334,0.06666666666666667,0.13333333333333333,0.7,0.7666666666666667,,0.1,0.01205169210266661,0.02333333333333333,0.008080099735078696,0.015613315828275827,0.013251186462540917,,0.0101010101010101
2021-02-27,0.23333333333333334,0.06666666666666667,0.13333333333333333,0.6666666666666666,0.7666666666666667,,0.1,0.01205169210266661,0.02333333333333333,0.008080099735078696,0.015191374900005784,0.01337553082861073,,0.0101010101010101
2021-02-28,0.23333333333333334,0.06666666666666667,0.13333333333333333,0.6,0.7666666666666667,,0.1,0.01205169210266661,0.02333333333333333,0.008080099735078696,0.014450634159265044,0.01337553082861073,,0.0101010101010101
2021-03-01,0.23333333333333334,0.06666666666666667,0.13333333333333333,0.6,0.8333333333333334,,0.13333333333333333,0.01205169210266661,0.02333333333333333,0.008080099735078696,0.014450634159265044,0.015134283110011094,,0.012878787878787877
2021-03-02,0.23333333333333334,0.06666666666666667,0.13333333333333333,0.6666666666666666,0.8333333333333334,,0.13333333333333333,0.01205169210266661,0.02333333333333333,0.008080099735078696,0.01547627518490607,0.015134283110011094,,0.012878787878787877
2021-03-03,0.2,0.06666666666666667,0.1,0.7,0.8333333333333334,,0.13333333333333333,0.010718358769333278,0.02333333333333333,0.004746766401745363,0.015378695169293268,0.015134283110011094,,0.012878787878787877
2021-03-04,0.2,0.06666666666666667,0.1,0.7,0.8,,0.16666666666666666,0.010718358769333278,0.02333333333333333,0.004746766401745363,0.014712028502626602,0.014846926788172014,,0.01843434343434343
2021-03-05,0.2,0.06666666666666667,0.1,0.7,0.7666666666666667,,0.16666666666666666,0.010718358769333278,0.02333333333333333,0.004746766401745363,0.014712028502626602,0.014205901147146373,,0.01843434343434343
2021-03-06,0.16666666666666666,0.06666666666666667,0.1,0.7,0.8333333333333334,,0.16666666666666666,0.009051692102666613,0.02333333333333333,0.004746766401745363,0.014712028502626602,0.013966437545613806,,0.01843434343434343
2021-03-07,0.16666666666666666,0.06666666666666667,0.1,0.6333333333333333,0.7333333333333333,,0.13333333333333333,0.009051692102666613,0.02333333333333333,0.004746766401745363,0.012957642537714321,0.01245128603046229,,0.015404040404040401
2021-03-08,0.2,0.06666666666666667,0.1,0.6333333333333333,0.7333333333333333,,0.13333333333333333,0.010903543954518464,0.02333333333333333,0.004746766401745363,0.012957642537714321,0.01245128603046229,,0.015404040404040401
2021-03-09,0.2,,0.1,0.6,0.8,,0.13333333333333333,0.010903543954518464,,0.004746766401745363,0.011977250380851576,0.01334017491935118,,0.015404040404040401
2021-03-10,0.16666666666666666,0.03333333333333333,0.1,0.6,0.8333333333333334,,0.1,0.009754118667162142,0.006666666666666665,0.004746766401745363,0.011260170850212725,0.013845225424401685,,0.013888888888888886
2021-03-11,0.13333333333333333,0.03333333333333333,0.1,0.5666666666666667,0.8666666666666667,,0.1,0.007531896444939921,0.006666666666666665,0.004746766401745363,0.01078398037402225,0.014175258427702014,,0.013888888888888886
2021-03-12,0.13333333333333333,0.03333333333333333,0.1,0.5666666666666667,0.8666666666666667,0.0,0.1,0.007531896444939921,0.006666666666666665,0.004746766401745363,0.011243539197551661,0.014175258427702014,0.0,0.013888888888888886
2021-03-13,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.5333333333333333,0.8666666666666667,,0.13333333333333333,0.007531896444939921,0.006666666666666665,0.0036714975845410624,0.010869007362345669,0.014175258427702014,,0.015849673202614375
2021-03-14,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.5333333333333333,0.8333333333333334,,0.13333333333333333,0.007531896444939921,0.006666666666666665,0.0014492753623188402,0.010869007362345669,0.013699067951511538,,0.015849673202614375
2021-03-15,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.5333333333333333,0.8333333333333334,0.0,0.13333333333333333,0.007531896444939921,0.006666666666666665,0.0014492753623188402,0.010869007362345669,0.014263730975190955,0.0,0.015849673202614375
2021-03-16,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.5,0.8333333333333334,0.0,0.13333333333333333,0.007531896444939921,0.006666666666666665,0.0014492753623188402,0.010417136828507922,0.014263730975190955,0.0,0.015849673202614375
2021-03-17,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.5,0.8333333333333334,,0.13333333333333333,0.007531896444939921,0.014999999999999998,0.0014492753623188402,0.010290152701523796,0.014263730975190955,,0.015849673202614375
2021-03-18,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.5,0.8333333333333334,,0.13333333333333333,0.007531896444939921,0.014999999999999998,0.0014492753623188402,0.010470300422655123,0.014263730975190955,,0.015849673202614375
2021-03-19,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.43333333333333335,0.7666666666666667,0.03333333333333333,0.13333333333333333,0.007531896444939921,0.014999999999999998,0.0014492753623188402,0.009212438787434997,0.01341984911865087,0.03333333333333333,0.015849673202614375
2021-03-20,0.1,0.06666666666666667,0.03333333333333333,0.5333333333333333,0.7333333333333333,0.03333333333333333,0.13333333333333333,0.006082621082621081,0.014999999999999998,0.0014492753623188402,0.010402914977911187,0.012882214710048719,0.03333333333333333,0.015849673202614375
2021-03-21,0.1,0.06666666666666667,0.03333333333333333,0.6,0.6666666666666666,0.03333333333333333,0.13333333333333333,0.006082621082621081,0.014999999999999998,0.0014492753623188402,0.011495811152774574,0.01191603113516949,0.03333333333333333,0.015849673202614375
2021-03-22,0.1,0.06666666666666667,0.03333333333333333,0.6,0.7333333333333333,,0.1,0.006082621082621081,0.014999999999999998,0.0014492753623188402,0.011495811152774574,0.012991299952373792,,0.01029411764705882
2021-03-23,0.1,0.06666666666666667,0.0,0.6,0.7,0.03333333333333333,0.1,0.006082621082621081,0.014999999999999998,0.0,0.011495811152774574,0.01236236913476373,0.03333333333333333,0.01029411764705882
2021-03-24,0.1,0.06666666666666667,0.0,0.5666666666666667,0.7,,0.1,0.006082621082621081,0.014999999999999998,0.0,0.010618618170318435,0.01236236913476373,,0.01029411764705882
2021-03-25,0.16666666666666666,0.06666666666666667,0.0,0.5,0.7,0.03333333333333333,0.1,0.008102823102823101,0.014999999999999998,0.0,0.008468080535909833,0.009883030291788523,0.03333333333333333,0.01029411764705882
2021-03-26,0.13333333333333333,0.06666666666666667,0.0,0.5,0.6666666666666666,,0.1,0.0055387205387205365,0.014999999999999998,0.0,0.008468080535909833,0.009785905194663425,,0.01029411764705882
2021-03-27,0.13333333333333333,0.03333333333333333,0.0,0.5,0.6666666666666666,,0.1,0.0055387205387205365,0.008333333333333331,0.0,0.008468080535909833,0.009785905194663425,,0.01029411764705882
2021-03-28,0.1,0.03333333333333333,0.0,0.5,0.6,,0.1,0.0038720538720538695,0.008333333333333331,0.0,0.008468080535909833,0.00915098455974279,,0.01029411764705882
2021-03-29,0.1,0.03333333333333333,0.0,0.5,0.5666666666666667,0.03333333333333333,0.1,0.0038720538720538695,0.008333333333333331,0.0,0.008468080535909833,0.00880734194805894,0.03333333333333333,0.01029411764705882
2021-03-30,0.1,0.03333333333333333,0.0,0.5,0.6,,0.1,0.0038720538720538695,0.008333333333333331,0.0,0.008468080535909833,0.010768126261784432,,0.01029411764705882
2021-03-31,0.1,0.03333333333333333,0.0,0.5,0.5,,0.06666666666666667,0.0038720538720538695,0.008333333333333331,0.0,0.008468080535909833,0.00832910187154053,,0.007516339869281043
2021-04-01,0.1,0.03333333333333333,0.0,0.43333333333333335,0.5,0.03333333333333333,0.1,0.0038720538720538695,0.008333333333333331,0.0,0.007442439510268808,0.00832910187154053,0.03333333333333333,0.012278244631185804
2021-04-02,0.1,0.03333333333333333,0.0,0.36666666666666664,0.5,,0.1,0.0038720538720538695,0.008333333333333331,0.0,0.00634954333540542,0.00832910187154053,,0.012278244631185804
2021-04-03,0.1,0.03333333333333333,0.0,0.3333333333333333,0.5,,0.06666666666666667,0.0038720538720538695,0.008333333333333331,0.0,0.005682876668738753,0.00832910187154053,,0.00672268907563025
2021-04-04,0.1,0.03333333333333333,0.0,0.3333333333333333,0.5,,0.06666666666666667,0.0038720538720538695,0.008333333333333331,0.0,0.005682876668738753,0.00832910187154053,,0.00672268907563025
2021-04-05,0.1,0.03333333333333333,0.0,0.3333333333333333,0.36666666666666664,0.03333333333333333,0.06666666666666667,0.0038720538720538695,0.008333333333333331,0.0,0.005682876668738753,0.0071796765841842065,0.03333333333333333,0.00672268907563025
2021-04-06,0.13333333333333333,0.03333333333333333,0.0,0.3333333333333333,0.36666666666666664,,0.06666666666666667,0.005955387205387202,0.008333333333333331,0.0,0.005682876668738753,0.0071796765841842065,,0.00672268907563025
2021-04-07,0.1,0.03333333333333333,0.0,0.3333333333333333,0.43333333333333335,,0.06666666666666667,0.0041035353535353505,0.008333333333333331,0.0,0.005682876668738753,0.009031528436036058,,0.00672268907563025
2021-04-08,0.13333333333333333,0.03333333333333333,0.0,0.3333333333333333,0.4,,0.06666666666666667,0.008270202020202018,0.008333333333333331,0.0,0.005682876668738753,0.008727434868784597,,0.00672268907563025
2021-04-09,0.13333333333333333,0.03333333333333333,0.0,0.3,0.4,,0.06666666666666667,0.008270202020202018,0.008333333333333331,0.0,0.005117904917326323,0.009333495474845204,,0.00672268907563025
2021-04-10,0.13333333333333333,0.03333333333333333,,0.3,0.4,,0.06666666666666667,0.008270202020202018,0.008333333333333331,,0.005117904917326323,0.009836795804878206,,0.00672268907563025
2021-04-11,0.13333333333333333,0.03333333333333333,0.0,0.26666666666666666,0.4,0.03333333333333333,0.06666666666666667,0.008270202020202018,0.008333333333333331,0.0,0.004137512760463578,0.009836795804878206,0.03333333333333333,0.00672268907563025
2021-04-12,0.13333333333333333,0.03333333333333333,0.0,0.3,0.43333333333333335,,0.03333333333333333,0.008270202020202018,0.008333333333333331,0.0,0.004970846093796911,0.010517067913721746,,0.00476190476190476
2021-04-13,0.13333333333333333,,0.03333333333333333,0.3333333333333333,0.43333333333333335,,0.03333333333333333,0.008270202020202018,,0.003703703703703703,0.005475896598847416,0.010517067913721746,,0.00476190476190476
2021-04-14,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.36666666666666664,0.4666666666666667,,0.03333333333333333,0.008270202020202018,0.008333333333333331,0.003703703703703703,0.005973409036658361,0.010372140377489862,,0.00476190476190476
2021-04-15,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.6,0.6666666666666666,,0.03333333333333333,0.008270202020202018,0.008333333333333331,0.003703703703703703,0.008841155325457282,0.013597946829102765,,0.00476190476190476
2021-04-16,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.5666666666666667,0.8,,0.03333333333333333,0.010230986333927506,0.008333333333333331,0.003703703703703703,0.008174488658790616,0.01506314829430423,,0.00476190476190476
2021-04-17,0.2,0.0,0.03333333333333333,0.5666666666666667,0.8333333333333334,0.03333333333333333,0.03333333333333333,0.013008764111705285,0.0,0.003703703703703703,0.008608432728221666,0.015940341276760372,0.03333333333333333,0.00476190476190476
2021-04-18,0.2,0.0,0.03333333333333333,0.5666666666666667,0.8333333333333334,0.03333333333333333,0.03333333333333333,0.013008764111705285,0.0,0.003703703703703703,0.008608432728221666,0.015940341276760372,0.03333333333333333,0.00476190476190476
2021-04-19,0.2,0.0,0.03333333333333333,0.4666666666666667,0.8333333333333334,0.03333333333333333,0.03333333333333333,0.013008764111705285,0.0,0.003703703703703703,0.007417956537745476,0.015940341276760372,0.03333333333333333,0.00476190476190476
2021-04-20,0.2,0.0,0.03333333333333333,0.4,0.8333333333333334,0.03333333333333333,0.06666666666666667,0.013008764111705285,0.0,0.003703703703703703,0.006325060362882088,0.015940341276760372,0.03333333333333333,0.005837173579109061
2021-04-21,0.2,0.0,0.03333333333333333,0.4,0.8,,0.06666666666666667,0.013008764111705285,0.0,0.003703703703703703,0.006325060362882088,0.015170882857109587,,0.005837173579109061
2021-04-22,0.2,0.0,0.03333333333333333,0.4666666666666667,0.9666666666666667,,0.06666666666666667,0.013008764111705285,0.0,0.003703703703703703,0.007400329180086388,0.01685438454061127,,0.005837173579109061
2021-04-23,0.2,0.03333333333333333,0.03333333333333333,0.5,1.0666666666666667,0.03333333333333333,0.1,0.013008764111705285,0.0037037037037037017,0.003703703703703703,0.008124966861245808,0.01867256635879309,0.03333333333333333,0.008059395801331283
