hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
soziale,105,4,12,59,0,21,9
wo,105,11,17,19,13,13,32
angesichts,105,8,31,40,4,10,12
nötigen,104,14,15,14,6,38,17
sofort,104,8,9,30,12,25,20
erfolgen,104,25,10,12,6,34,17
sehr,104,12,24,14,2,45,7
interview,103,14,9,21,7,24,28
kritisieren,103,12,9,21,14,13,34
notwendig,103,16,30,11,3,24,19
planen,103,9,17,20,9,14,34
als,102,15,12,30,8,16,21
freuen,102,13,26,16,6,25,16
bayer,101,11,23,20,9,8,30
wert,101,11,4,9,6,52,19
60,101,32,7,14,8,32,8
am,101,22,13,28,7,19,12
coronavirus,101,21,8,20,25,12,15
israel,100,4,9,2,5,54,26
funktionieren,99,8,17,13,3,19,39
tempo,99,17,15,9,0,13,45
sinken,99,8,12,8,7,54,10
greifen,98,9,16,9,5,24,35
grün,98,6,22,11,20,11,28
richtig,98,17,20,13,12,19,17
eher,98,15,12,26,5,23,17
erneut,98,8,18,18,2,26,26
schaden,97,6,5,11,17,35,23
infektionsschutz,97,5,13,57,1,11,10
schlecht,97,6,17,15,4,24,31
tote,97,5,6,29,10,43,4
schnelltest,96,10,14,21,3,15,33
dank,96,39,13,9,5,12,18
sicherheit,96,26,13,10,5,26,16
einsatz,96,23,7,12,10,21,23
beenden,95,9,6,19,25,12,24
blicken,95,10,33,11,4,18,19
14,95,14,10,22,5,27,17
möglichkeit,95,11,13,12,6,22,31
verfügung,95,17,9,21,5,21,22
gefährden,95,12,9,22,10,33,9
sicher,95,27,24,11,6,14,13
meist,94,12,5,21,8,40,8
impfkampagne,94,24,19,11,3,10,27
ort,94,29,15,10,7,18,15
astra,94,7,4,12,1,68,2
folgen,94,10,9,17,10,35,13
gerne,93,9,22,14,9,19,20
zu,93,15,15,22,7,15,19
derzeit,92,11,16,14,1,22,28
bitten,92,18,20,19,4,19,12
ca,92,19,9,13,8,34,9
betrieb,92,9,10,16,4,45,8
longcovid,92,0,4,3,4,79,2
pflicht,91,2,13,29,4,25,18
gt,91,6,14,13,3,38,17
fallen,91,8,17,19,7,18,22
märz,91,11,10,20,10,14,26
normalität,90,16,8,6,10,19,31
von,90,11,15,19,6,23,16
einig,90,14,8,17,8,30,13
unterstützung,90,12,25,20,1,24,8
scheinen,90,8,10,12,13,35,12
sachsen,90,28,3,12,8,8,31
national,90,12,17,16,5,11,29
bitte,90,20,22,24,3,11,10
impfgipfel,89,9,14,12,5,8,41
maskenpflicht,89,9,10,16,24,10,20
ob,89,8,10,20,7,20,24
jung,89,16,9,5,4,22,33
erst,89,16,13,13,9,12,26
vorbei,88,5,23,24,2,14,20
oder,88,10,7,20,12,21,18
ausgangssperre,88,2,4,10,22,9,41
glauben,88,12,11,14,15,19,17
südafrika,88,0,2,32,0,54,0
bedeuten,87,9,10,27,8,21,12
politiker,87,6,6,24,22,15,14
ausgangssperren,87,4,2,7,13,12,49
verdienen,87,5,22,18,5,21,16
warten,87,10,8,23,2,23,21
ohne,87,15,3,18,7,30,14
frei,86,3,6,33,11,2,31
gleich,86,12,10,15,11,32,6
infizieren,86,8,5,12,14,44,3
solidarität,86,14,29,23,0,19,1
bürgerin,86,65,1,5,0,9,6
drohen,86,4,10,22,4,23,23
anfang,86,14,12,5,9,30,16
reichen,85,9,9,23,3,30,11
schließen,85,7,10,18,8,16,26
erkranken,85,8,5,14,7,43,8
zulassung,84,16,10,17,2,18,21
also,84,9,9,25,7,18,16
einzig,84,7,8,21,12,19,17
gefahr,84,7,9,16,7,28,17
online,84,10,12,25,9,10,18
berichten,84,10,19,18,6,10,21
18,84,20,12,22,4,13,13
seit,84,17,20,18,4,8,17
abgeordnete,83,11,23,20,6,15,8
ausreichen,83,10,9,17,5,16,26
kultur,83,14,13,12,1,19,24
leider,83,8,5,16,6,29,19
statt,83,1,15,22,6,3,36
sache,83,12,13,15,6,12,25
tag,83,25,10,13,3,17,15
gering,83,5,12,14,3,39,10
einsetzen,83,8,8,13,1,39,14
bestellen,83,5,7,13,10,13,35
konzept,82,5,9,13,6,13,36
knapp,82,29,8,14,1,17,13
schön,82,11,19,13,7,12,20
abend,82,6,17,16,0,22,21
hilfen,82,13,10,7,9,12,31
zulassen,82,16,8,9,7,23,19
verlängerung,82,10,14,3,14,5,36
prozent,82,20,4,32,4,8,14
zb,82,4,9,20,2,38,9
gewinnen,81,9,7,41,2,12,10
dabei,81,11,12,22,4,16,16
ostern,81,19,8,12,10,11,21
produzieren,81,9,9,30,7,14,12
morgen,81,19,16,21,4,8,13
forderung,80,6,9,29,3,8,25
linke,80,4,2,57,11,0,6
egal,80,5,12,25,14,10,14
april,80,11,12,17,6,19,15
passieren,80,5,17,18,5,17,18
ziehen,79,11,14,15,8,14,17
kostenlos,79,7,8,18,4,16,26
bekämpfen,79,8,16,23,1,19,12
erwachsene,79,14,22,5,2,22,14
cwa,79,7,10,17,0,35,10
niedrig,79,8,13,17,2,28,11
deutsche,78,35,9,13,11,1,9
kennen,78,10,13,18,5,15,17
impfzentren,78,22,9,10,1,18,18
stunde,78,11,14,22,9,10,12
lesen,78,10,13,17,3,18,17
malen,78,17,11,26,2,10,12
noch,78,5,10,12,6,25,20
impfquote,78,10,9,5,3,36,15
längst,78,5,13,17,6,12,25
zusätzlich,78,8,10,16,1,31,12
beschaffung,77,2,4,13,3,20,35
arzt,77,12,5,24,3,12,21
drucken,77,4,9,23,13,13,15
wort,77,13,6,16,8,11,23
ermöglichen,77,12,11,13,3,14,24
positiv,77,14,10,13,10,19,11
