,author_id,count,sum,prop,person__id,screen_name,party,person__surname,person__first_name,person__in_parlperiod,parltype,region,Name
184,984735466783232000,4238,1,0.00023596035865974517,80860,ManuelaRottman,gruene,Rottmann,Manuela,[19],Bund,Bavaria,Manuela Rottmann
185,16361044,5172,1,0.00019334880123743234,80020,wanderwitz,cducsu,Wanderwitz,Marco,"[15, 16, 17, 18, 19]",Bund,Saxony,Marco Wanderwitz
186,18044683,5717,1,0.00017491691446562882,79895,Otto_Fricke,fdp,Fricke,Otto,"[15, 16, 17, 19]",Bund,North Rhine-Westphalia,Otto Fricke
187,106136813,14643,2,0.00013658403332650413,80232,MarcoBuschmann,fdp,Buschmann,Marco,"[17, 19]",Bund,North Rhine-Westphalia,Marco Buschmann
188,15630931,7956,1,0.00012569130216189038,80388,johannesvogel,fdp,Vogel,Johannes,"[17, 19]",Bund,North Rhine-Westphalia,Johannes Vogel
189,708224250885349376,126,0,0.0,79721,HPFriedrichCSU,cducsu,Friedrich,Hans-Peter,"[14, 15, 16, 17, 18, 19]",Bund,Bavaria,Hans-Peter Friedrich
190,28446356,1021,0,0.0,80608,VolkerUllrich,cducsu,Ullrich,Volker,"[18, 19]",Bund,Bavaria,Volker Ullrich
191,740178046649565184,5338,0,0.0,80773,c_jung77,fdp,Jung,Christian,[19],Bund,Baden-Württemberg,Christian Jung
192,28087038,392,0,0.0,80885,franksitta,fdp,Sitta,Frank,[19],Bund,Saxony-Anhalt,Frank Sitta
193,28089973,21,0,0.0,80841,josefoster,cducsu,Oster,Josef,[19],Bund,Rheinland-Pfalz,Josef Oster
194,35846585,754,0,0.0,80206,EvaHoegl,spd,Högl,Eva,"[16, 17, 18, 19]",Bund,Berlin,Eva Högl
195,724565991104110592,10,0,0.0,80428,MdB_Ulrike_Bahr,spd,Bahr,Ulrike,"[18, 19]",Bund,Bavaria,Ulrike Bahr
196,35687457,45359,0,0.0,79753,kahrs,spd,Kahrs,Johannes,"[14, 15, 16, 17, 18, 19]",Bund,Hamburg,Johannes Kahrs
197,34214048,1067,0,0.0,79560,meister_schafft,cducsu,Meister,Michael,"[13, 14, 15, 16, 17, 18, 19]",Bund,Hesse,Michael Meister
198,4249342037,116,0,0.0,80797,MichaelKuffer,cducsu,Kuffer,Michael,[19],Bund,Bavaria,Michael Kuffer
199,33071479,2852,0,0.0,80348,Erwin_Rueddel,cducsu,Rüddel,Erwin,"[17, 18, 19]",Bund,Rheinland-Pfalz,Erwin Rüddel
200,28784085,1465,0,0.0,80570,MartinRosemann,spd,Rosemann,Martin,"[18, 19]",Bund,Baden-Württemberg,Martin Rosemann
201,29540300,1037,0,0.0,80897,bstrasser,fdp,Strasser,Benjamin,[19],Bund,Baden-Württemberg,Benjamin Strasser
202,4429947807,492,0,0.0,80715,ElsnervonGronow,afd,Elsner von Gronow,Berengar,[19],Bund,North Rhine-Westphalia,Berengar Elsner von Gronow
203,4503658823,534,0,0.0,80921,Witt_Uwe,afd,Witt,Uwe,[19],Bund,North Rhine-Westphalia,Uwe Witt
204,998867063274921984,191,0,0.0,80708,BrittaDassler,fdp,Dassler,Britta Katharina,[19],Bund,Bavaria,Britta Katharina Dassler
205,4557858142,563,0,0.0,80630,ZdebelHubertus,linke,Zdebel,Hubertus,"[18, 19]",Bund,North Rhine-Westphalia,Hubertus Zdebel
206,997138767763750912,602,0,0.0,80751,HerbrandMarkus,fdp,Herbrand,Markus,[19],Bund,North Rhine-Westphalia,Markus Herbrand
207,4577700622,47,0,0.0,80243,MichaelFrieser,cducsu,Frieser,Michael,"[17, 18, 19]",Bund,Bavaria,Michael Frieser
208,4818645382,9,0,0.0,80906,dr_tiemann,cducsu,Tiemann,Dietlind,[19],Bund,Brandenburg,Dietlind Tiemann
209,33043294,8,0,0.0,80280,VolkmarKlein,cducsu,Klein,Volkmar,"[17, 18, 19]",Bund,North Rhine-Westphalia,Volkmar Klein
210,4866955749,210,0,0.0,80595,StefingerMdB,cducsu,Stefinger,Wolfgang,"[18, 19]",Bund,Bavaria,Wolfgang Stefinger
211,4724923756,113,0,0.0,79912,HajdukBundestag,gruene,Hajduk,Anja,"[15, 16, 18, 19]",Bund,Hamburg,Anja Hajduk
212,988765113606918144,796,0,0.0,80801,ulrichlechte,fdp,Lechte,Ulrich,[19],Bund,Bavaria,Ulrich Lechte
213,36329898,162,0,0.0,80066,BurkertMartin,spd,Burkert,Martin,"[16, 17, 18, 19]",Bund,Bavaria,Martin Burkert
214,3337459024,1154,0,0.0,80593,stadler_svenja,spd,Stadler,Svenja,"[18, 19]",Bund,Lower Saxony,Svenja Stadler
215,2837971145,969,0,0.0,77866,UllaJelpke,linke,Jelpke,Ulla,"[12, 13, 14, 16, 17, 18, 19]",Bund,North Rhine-Westphalia,Ulla Jelpke
216,2842430247,354,0,0.0,80567,DeRidder_MdB,spd,De Ridder,Daniela,"[18, 19]",Bund,Lower Saxony,Daniela De Ridder
217,2860802891,4,0,0.0,80479,MarcusHeld_SPD,spd,Held,Marcus,"[18, 19]",Bund,Rheinland-Pfalz,Marcus Held
218,2885729417,1013,0,0.0,80597,Peter_Stein_CDU,cducsu,Stein,Peter,"[18, 19]",Bund,Mecklenburg-Vorpommern,Peter Stein
219,3017602065,263,0,0.0,80506,GabyKatzmarek,spd,Katzmarek,Gabriele,"[18, 19]",Bund,Baden-Württemberg,Gabriele Katzmarek
