,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-04-02,0.3,0.0,0.016666666666666666,0.05,0.0,,0.03333333333333333,0.019258681180587874,0.0,0.0007246376811594203,0.0008282915586286375,0.0,,0.00196078431372549
2021-04-03,0.31666666666666665,0.0,0.016666666666666666,0.05,0.0,,0.03333333333333333,0.01995312562503232,0.0,0.0007246376811594203,0.0008282915586286375,0.0,,0.00196078431372549
2021-04-04,0.3,0.0,0.016666666666666666,0.05,0.0,,0.03333333333333333,0.019258681180587874,0.0,0.0007246376811594203,0.0008282915586286375,0.0,,0.00196078431372549
2021-04-05,0.31666666666666665,0.0,0.016666666666666666,0.05,0.0,,0.03333333333333333,0.020135874163044014,0.0,0.0007246376811594203,0.0008282915586286375,0.0,,0.00196078431372549
2021-04-06,0.31666666666666665,0.0,0.016666666666666666,0.05,0.0,,0.03333333333333333,0.020135874163044014,0.0,0.0007246376811594203,0.0008282915586286375,0.0,,0.00196078431372549
2021-04-07,0.3,0.0,0.016666666666666666,0.05,0.0,,0.03333333333333333,0.019024763051932903,0.0,0.0007246376811594203,0.0008282915586286375,0.0,,0.00196078431372549
2021-04-08,0.3,0.0,0.016666666666666666,0.05,0.0,,0.03333333333333333,0.019024763051932903,0.0,0.0007246376811594203,0.0008282915586286375,0.0,,0.00196078431372549
2021-04-09,0.2833333333333333,0.0,0.016666666666666666,0.05,0.0,,0.03333333333333333,0.01845005040825474,0.0,0.0007246376811594203,0.0008282915586286375,0.0,,0.00196078431372549
2021-04-10,0.26666666666666666,0.0,,0.05,0.0,,0.03333333333333333,0.01733893929714363,0.0,,0.0008282915586286375,0.0,,0.00196078431372549
2021-04-11,0.26666666666666666,0.0,0.016666666666666666,0.05,0.0,,0.03333333333333333,0.01733893929714363,0.0,0.0007246376811594203,0.0008282915586286375,0.0,,0.00196078431372549
2021-04-12,0.26666666666666666,0.0,0.016666666666666666,0.03333333333333333,0.0,,0.03333333333333333,0.01733893929714363,0.0,0.0007246376811594203,0.0006410256410256411,0.0,,0.00196078431372549
2021-04-13,0.2833333333333333,,0.016666666666666666,0.03333333333333333,0.0,,0.03333333333333333,0.018132590090794425,,0.0007246376811594203,0.0006410256410256411,0.0,,0.00196078431372549
2021-04-14,0.26666666666666666,0.0,0.016666666666666666,0.03333333333333333,0.0,,0.03333333333333333,0.017090923424127758,0.0,0.0007246376811594203,0.0006410256410256411,0.0,,0.00196078431372549
2021-04-15,0.26666666666666666,0.0,0.016666666666666666,0.03333333333333333,0.0,,0.03333333333333333,0.017090923424127758,0.0,0.0007246376811594203,0.0006410256410256411,0.0,,0.00196078431372549
2021-04-16,0.26666666666666666,0.0,0.016666666666666666,0.03333333333333333,0.0,,0.03333333333333333,0.017090923424127758,0.0,0.0007246376811594203,0.0006410256410256411,0.0,,0.00196078431372549
2021-04-17,0.26666666666666666,0.0,0.016666666666666666,0.03333333333333333,0.0,,0.03333333333333333,0.017090923424127758,0.0,0.0007246376811594203,0.0006410256410256411,0.0,,0.00196078431372549
2021-04-18,0.25,0.0,0.016666666666666666,0.03333333333333333,0.0,,0.03333333333333333,0.01616499749820183,0.0,0.0007246376811594203,0.0006410256410256411,0.0,,0.00196078431372549
2021-04-19,0.25,0.0,0.016666666666666666,0.03333333333333333,0.0,,0.03333333333333333,0.01616499749820183,0.0,0.0007246376811594203,0.0006410256410256411,0.0,,0.00196078431372549
2021-04-20,0.21666666666666667,0.0,0.016666666666666666,0.03333333333333333,0.0,,0.03333333333333333,0.01420421318447634,0.0,0.0007246376811594203,0.0006410256410256411,0.0,,0.00196078431372549
2021-04-21,0.2,0.0,0.016666666666666666,0.03333333333333333,0.0,,0.03333333333333333,0.01309310207336523,0.0,0.0007246376811594203,0.0006410256410256411,0.0,,0.00196078431372549
2021-04-22,0.2,0.0,0.016666666666666666,0.03333333333333333,0.0,,0.016666666666666666,0.01309310207336523,0.0,0.0007246376811594203,0.0006410256410256411,0.0,,0.000980392156862745
2021-04-23,0.2,0.0,0.0,0.03333333333333333,0.0,,0.016666666666666666,0.01309310207336523,0.0,0.0,0.0006410256410256411,0.0,,0.000980392156862745
2021-04-24,0.2,0.0,0.0,0.03333333333333333,0.0,,0.016666666666666666,0.01309310207336523,0.0,0.0,0.0006410256410256411,0.0,,0.000980392156862745
2021-04-25,0.2,0.0,0.0,0.03333333333333333,0.0,,0.03333333333333333,0.01309310207336523,0.0,0.0,0.0006410256410256411,0.0,,0.0018575851393188853
2021-04-26,0.2,0.0,0.0,0.03333333333333333,0.0,,0.03333333333333333,0.01309310207336523,0.0,0.0,0.0006410256410256411,0.0,,0.0018575851393188853
2021-04-27,0.2,0.0,0.0,0.03333333333333333,0.0,,0.03333333333333333,0.01309310207336523,0.0,0.0,0.0006410256410256411,0.0,,0.0018575851393188853
2021-04-28,0.2,0.0,0.03333333333333333,0.03333333333333333,0.0,,0.03333333333333333,0.01309310207336523,0.0,0.00196078431372549,0.0006410256410256411,0.0,,0.0018575851393188853
2021-04-29,0.18333333333333332,0.0,0.03333333333333333,0.03333333333333333,0.0,,0.03333333333333333,0.012051435406698563,0.0,0.00196078431372549,0.0006410256410256411,0.0,,0.0018575851393188853
2021-04-30,0.16666666666666666,0.0,0.03333333333333333,0.03333333333333333,0.0,,0.03333333333333333,0.010940324295587452,0.0,0.00196078431372549,0.0006410256410256411,0.0,,0.0018575851393188853
