,klima,corona,wahlen,wirtschaft
2021-05-01,7.8,43.43333333333333,9.766666666666667,28.333333333333332
2021-05-02,8.033333333333333,43.333333333333336,9.733333333333333,28.6
2021-05-03,8.533333333333333,43.266666666666666,9.8,28.9
2021-05-04,9.3,43.96666666666667,10.0,29.2
2021-05-05,10.1,45.06666666666667,10.466666666666667,30.066666666666666
2021-05-06,10.466666666666667,46.36666666666667,10.633333333333333,31.466666666666665
2021-05-07,11.533333333333333,45.8,10.833333333333334,32.166666666666664
2021-05-08,11.766666666666667,44.5,11.266666666666667,31.866666666666667
2021-05-09,12.133333333333333,43.266666666666666,11.6,31.966666666666665
2021-05-10,12.433333333333334,42.86666666666667,11.3,32.53333333333333
2021-05-11,13.133333333333333,43.06666666666667,11.033333333333333,32.06666666666667
2021-05-12,13.533333333333333,42.6,10.733333333333333,32.36666666666667
2021-05-13,13.2,40.56666666666667,10.433333333333334,31.5
2021-05-14,13.3,39.1,10.666666666666666,30.5
2021-05-15,13.4,37.8,11.033333333333333,29.866666666666667
2021-05-16,13.566666666666666,36.166666666666664,11.266666666666667,28.666666666666668
2021-05-17,13.7,35.43333333333333,11.066666666666666,28.7
2021-05-18,14.166666666666666,34.6,11.1,28.8
2021-05-19,14.3,34.06666666666667,10.333333333333334,29.066666666666666
2021-05-20,14.333333333333334,33.36666666666667,10.233333333333333,28.1
2021-05-21,14.433333333333334,31.766666666666666,10.233333333333333,26.866666666666667
2021-05-22,14.1,30.833333333333332,10.1,25.766666666666666
2021-05-23,13.966666666666667,29.666666666666668,9.8,24.033333333333335
2021-05-24,13.966666666666667,29.133333333333333,9.4,23.6
2021-05-25,14.0,28.9,9.7,23.733333333333334
2021-05-26,14.1,28.666666666666668,9.566666666666666,23.833333333333332
2021-05-27,14.3,28.8,9.866666666666667,23.733333333333334
2021-05-28,14.633333333333333,27.666666666666668,10.166666666666666,24.033333333333335
2021-05-29,13.1,26.833333333333332,10.533333333333333,23.266666666666666
2021-05-30,12.9,25.433333333333334,10.633333333333333,23.233333333333334
2021-05-31,12.766666666666667,25.166666666666668,10.8,23.266666666666666
2021-06-01,13.133333333333333,25.2,11.1,23.6
2021-06-02,13.2,24.733333333333334,11.233333333333333,23.433333333333334
2021-06-03,13.066666666666666,23.866666666666667,11.3,23.566666666666666
2021-06-04,13.233333333333333,22.966666666666665,11.166666666666666,22.933333333333334
2021-06-05,13.266666666666667,20.966666666666665,11.4,21.866666666666667
2021-06-06,12.466666666666667,19.566666666666666,12.133333333333333,21.3
2021-06-07,12.333333333333334,19.666666666666668,11.833333333333334,21.5
2021-06-08,12.2,20.133333333333333,11.4,22.6
2021-06-09,12.233333333333333,20.166666666666668,11.3,22.5
2021-06-10,12.433333333333334,19.8,11.3,22.666666666666668
2021-06-11,12.5,19.8,11.6,22.7
2021-06-12,12.733333333333333,19.733333333333334,11.966666666666667,23.133333333333333
2021-06-13,12.6,19.433333333333334,12.133333333333333,23.166666666666668
2021-06-14,12.733333333333333,19.966666666666665,11.7,23.166666666666668
2021-06-15,12.7,20.666666666666668,11.4,23.4
2021-06-16,12.733333333333333,20.833333333333332,11.5,23.666666666666668
2021-06-17,12.366666666666667,20.933333333333334,11.4,23.8
2021-06-18,12.366666666666667,20.6,11.533333333333333,23.066666666666666
2021-06-19,12.133333333333333,19.866666666666667,11.566666666666666,22.5
2021-06-20,12.033333333333333,19.9,11.766666666666667,22.3
2021-06-21,12.033333333333333,20.0,12.633333333333333,22.733333333333334
2021-06-22,12.666666666666666,20.4,13.033333333333333,23.6
2021-06-23,12.9,20.566666666666666,13.133333333333333,24.766666666666666
2021-06-24,13.2,20.733333333333334,12.933333333333334,24.633333333333333
2021-06-25,13.133333333333333,20.433333333333334,12.933333333333334,24.433333333333334
2021-06-26,12.8,19.6,12.8,23.966666666666665
2021-06-27,12.3,19.466666666666665,12.8,23.0
2021-06-28,12.233333333333333,19.766666666666666,12.333333333333334,23.333333333333332
2021-06-29,12.333333333333334,20.4,12.6,23.566666666666666
2021-06-30,12.966666666666667,20.3,12.766666666666667,23.4
2021-07-01,13.1,20.466666666666665,12.966666666666667,23.033333333333335
2021-07-02,12.833333333333334,20.666666666666668,13.1,23.1
2021-07-03,12.333333333333334,20.3,12.966666666666667,22.533333333333335
2021-07-04,11.566666666666666,19.433333333333334,12.766666666666667,22.366666666666667
2021-07-05,11.466666666666667,19.6,12.566666666666666,22.566666666666666
2021-07-06,11.333333333333334,19.633333333333333,11.766666666666667,22.733333333333334
2021-07-07,11.333333333333334,19.8,11.566666666666666,22.533333333333335
2021-07-08,11.133333333333333,19.4,11.8,21.266666666666666
2021-07-09,10.933333333333334,19.0,11.633333333333333,21.266666666666666
2021-07-10,10.166666666666666,18.566666666666666,11.8,20.966666666666665
2021-07-11,9.633333333333333,18.2,11.8,20.233333333333334
2021-07-12,9.533333333333333,18.333333333333332,11.7,19.833333333333332
2021-07-13,9.966666666666667,18.5,11.5,20.433333333333334
2021-07-14,10.333333333333334,18.1,11.566666666666666,20.566666666666666
2021-07-15,12.4,17.666666666666668,11.566666666666666,20.5
2021-07-16,12.7,17.4,11.5,19.9
2021-07-17,13.1,17.1,11.533333333333333,19.4
2021-07-18,13.2,16.933333333333334,11.333333333333334,19.1
2021-07-19,13.8,17.066666666666666,11.133333333333333,18.9
2021-07-20,13.833333333333334,17.033333333333335,10.8,18.866666666666667
2021-07-21,14.0,17.266666666666666,10.133333333333333,18.3
2021-07-22,13.766666666666667,16.933333333333334,9.7,17.633333333333333
2021-07-23,13.833333333333334,16.8,9.766666666666667,16.566666666666666
2021-07-24,13.8,16.433333333333334,9.866666666666667,16.233333333333334
