hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
kolleg innen,61,0,21,22,1,15,2
wirecard skandal,61,7,10,34,1,2,7
auf weg,61,9,18,19,1,9,5
ich reichen,61,5,10,22,9,10,5
ich lesen,60,7,9,14,4,14,12
gedenken opfern,60,15,14,14,2,7,8
studie zeigen,60,0,11,8,0,34,7
ich lieb,60,3,15,16,4,13,9
mittler einkommen,60,0,8,35,0,2,15
ich lassen,60,8,9,13,9,17,4
denken ich,60,10,4,15,8,9,14
ich kritisieren,60,12,8,14,1,10,15
joe biden,59,7,12,20,4,8,8
mein tweet,59,23,4,13,3,9,7
soldatinnen soldat,59,31,7,2,0,8,11
meine anfrage,59,0,0,0,59,0,0
am freitag,59,7,16,26,6,4,0
20 uhr,59,5,15,19,2,9,9
ich machen,59,3,8,17,4,18,9
was genau,59,7,5,17,8,8,14
ich begrüßen,59,7,6,19,2,11,14
ich danke,59,10,9,13,7,8,12
schleswig holstein,59,7,5,11,6,11,19
ich eigentlich,59,11,8,14,5,14,7
ich sag,59,9,15,18,3,9,5
11 uhr,58,9,17,14,1,8,9
100 000,58,8,5,12,4,16,13
aktuelle stunde,58,6,7,17,1,11,16
ich frei,58,2,2,2,2,0,50
000 mensch,57,11,9,21,2,9,5
spd fdp,57,2,27,16,3,5,4
19 00,57,2,7,18,2,7,21
nehmen ich,57,8,4,15,10,11,9
frage beantworten,57,6,10,12,7,11,11
ich letzt,57,7,13,9,5,11,12
walter lübcke,56,14,11,13,0,10,8
ich grün,56,2,50,3,0,0,1
auf fall,56,9,17,9,5,9,7
ich kommen,56,6,8,20,6,9,7
fake news,56,7,11,12,6,8,12
andrea scheuer,56,1,28,10,2,0,15
verantwortung übernehmen,55,4,9,13,3,16,10
winfried kretschmann,55,3,29,1,1,5,16
anfragen zeigen,55,0,38,11,0,0,6
wichtig schreiten,55,15,7,10,0,17,6
falsch ich,54,16,9,7,2,8,12
jetzt live,54,4,12,9,5,7,17
cum ex,54,9,6,34,2,1,2
mein interview,54,11,5,16,4,13,5
ich teile,54,10,12,12,0,13,7
lieber herr,54,13,5,5,8,11,12
frau baerbock,54,12,1,7,17,3,14
sehr gerne,54,16,13,6,6,8,5
10 000,54,7,9,12,7,11,8
genau ich,54,6,7,10,2,13,16
mein sich,53,2,9,26,5,5,6
60 jahr,53,13,10,4,4,14,8
mal rein,53,14,6,9,2,8,14
this is,53,6,8,14,2,8,15
kein sorgen,53,14,9,12,4,4,10
ich spannen,53,6,14,10,3,8,12
ich genau,53,9,8,8,2,17,9
seit monat,53,6,20,10,2,5,10
ich völlig,53,10,14,9,6,5,9
debatte bundestag,53,11,17,9,3,6,7
18 00,53,5,4,22,9,5,8
da stehen,52,5,8,25,3,8,3
ein stark,52,27,5,5,3,6,6
in nrw,52,8,10,4,10,6,14
in letzt,52,5,14,21,2,7,3
mensch deutschland,52,10,7,13,2,11,9
ja ich,52,6,13,12,5,6,10
glückwunsch erfolgen,52,17,5,12,1,10,7
hören ich,52,6,4,7,4,12,19
malu dreyer,51,2,2,0,0,47,0
ich gelten,51,18,7,7,2,8,9
gedanke opfer,51,12,15,3,2,4,15
und genau,51,5,7,11,5,11,12
schau ich,51,9,4,5,3,6,24
politiker innen,51,2,14,24,3,8,0
stehen ich,51,12,3,12,5,11,8
woche bundestag,51,2,5,17,3,15,9
haben mal,51,6,5,10,7,17,6
heute geburtstag,51,50,0,0,0,0,1
am 26,51,8,17,15,2,7,2
ein weit,50,8,8,14,4,9,7
kanzlerin merkel,50,1,6,15,11,4,13
ich wünschen,50,12,7,8,1,6,16
heute jahr,50,3,8,18,2,8,11
it is,50,8,4,18,1,16,3
10 uhr,50,10,8,9,3,9,11
and the,50,12,8,11,0,16,3
herzliche einladung,50,22,10,4,2,7,5
50 jahr,50,2,16,8,4,14,6
by the,49,5,8,6,0,22,8
dafür brauchen,49,10,16,7,1,6,9
vor allem,49,12,12,9,8,2,6
ich schön,49,8,5,11,2,8,15
stellen ich,49,8,6,14,6,8,7
antwort frage,49,5,14,14,3,7,6
im gegenteil,49,3,7,11,4,13,11
schreiben ich,49,9,2,18,5,9,6
fabio de,49,0,0,48,0,1,0
heute beginnen,49,20,10,13,0,4,2
corona hilfen,49,10,4,3,6,7,19
to be,48,9,8,9,2,10,10
jed tagen,48,5,9,11,3,12,8
bundestag brandner,48,0,0,0,48,0,0
bundesregierung thema,48,0,2,5,37,0,4
zum glücken,48,5,8,9,7,6,13
ich gut,48,10,9,8,3,7,11
bringen punkt,48,8,15,7,4,8,6
korruption cdu,48,0,1,7,40,0,0
ich können,48,5,7,10,5,13,8
sprechen ich,48,13,8,9,3,8,7
kein wund,47,2,11,9,5,14,6
mein vorschlag,47,7,17,10,3,4,6
lese ich,47,11,1,3,9,10,13
cumex warburg,47,9,0,38,0,0,0
ua wirecard,47,44,2,0,0,1,0
was sagen,47,4,14,8,9,7,5
kollegin kollege,47,12,3,14,0,14,4
stellen frage,47,6,8,13,6,7,7
jahr 2021,47,10,8,9,6,8,6
ich gratulieren,47,9,11,6,6,6,9
heiko maas,47,6,6,9,13,2,11
ich warten,47,5,13,8,0,12,9
ich behaupten,47,12,6,12,2,6,9
markus braun,47,0,3,41,0,3,0
wirecard untersuchungsausschuss,46,3,6,20,1,12,4
ich gestern,46,5,6,11,6,11,7
ich diskutieren,46,10,11,11,2,6,6
ich stimme,46,7,6,8,3,10,12
ich sein,46,3,5,11,3,13,11
sitzungswoche bundestag,46,14,17,6,0,7,2
kein ahnung,46,8,2,23,6,5,2
wähler innen,46,0,15,23,1,6,1
good news,46,14,11,7,0,9,5
wählerin wähler,46,16,4,4,0,6,16
voll impfschutz,46,45,0,1,0,0,0
klein anfragen,45,0,20,12,2,0,11
starke linke,45,0,0,45,0,0,0
endlich mal,45,10,8,7,4,10,6
100 jahr,45,13,7,13,1,8,3
wählen ich,45,10,10,11,4,4,6
ich stimmen,45,2,10,4,0,15,14
anschlag hanau,45,8,8,17,1,3,8
ffp2 masken,45,2,8,10,2,7,16
ich land,45,5,10,9,4,5,12
sich mein,45,8,10,11,3,8,5
punkt bringen,45,7,6,10,3,13,6
uhr sprechen,45,6,7,7,0,9,16
genoss innen,45,0,3,36,1,5,0
junge mensch,44,5,14,9,1,5,10
folge meine,44,0,0,0,43,1,0
heute mal,44,9,10,8,4,9,4
76 jahr,44,10,3,18,0,10,3
80 jahr,44,4,11,16,2,7,4
union fdp,44,0,7,21,2,8,6
scholz spd,44,15,6,7,0,15,1
how it,44,6,1,18,1,5,13
ganz herzlich,44,3,18,4,0,5,14
in locker,44,0,0,0,44,0,0
halten ich,44,2,7,8,5,11,11
ich tun,44,5,6,12,3,9,9
locker folge,44,0,0,0,44,0,0
klar wort,44,17,9,2,1,10,5
sehr wichtig,44,4,20,7,0,12,1
tun leid,44,3,8,10,5,10,8
70 jahr,43,9,8,7,4,12,3
letzte woche,43,7,16,6,2,5,7
alexej nawalny,43,5,8,1,0,7,22
ich hoch,43,3,11,5,7,7,10
spd grüne,43,7,2,19,3,5,7
spd cdu,43,1,27,5,3,1,6
glückwunsch sich,43,3,34,2,0,2,2
jüdin jude,43,6,7,14,0,11,5
besten dank,43,27,1,2,0,5,8
guter mann,43,6,4,10,3,13,7
ich offenbaren,43,9,3,9,8,5,9
ein jahr,43,8,10,8,2,5,10
ich helfen,43,7,7,9,5,9,6
mal ich,43,5,2,15,7,6,8
antwort bundesregierung,42,0,14,16,4,0,8
ich echt,42,4,10,11,1,8,8
16 uhr,42,3,16,9,3,11,0
einzig partei,42,0,1,28,9,0,4
afd wirholendasdirektmandat,42,0,0,0,42,0,0
laschet söder,42,2,18,5,4,11,2
ich deutschland,42,14,3,7,3,6,9
impfen impfen,42,10,15,2,0,4,11
ich tweet,42,8,8,8,5,4,9
ich handeln,42,4,7,15,1,7,8
hoch zeit,42,2,12,6,6,7,9
national tragweite,42,4,5,0,4,2,27
klimaschutz sozial,42,1,19,21,0,1,0
in land,42,4,4,10,11,6,7
deutschland europa,42,19,8,2,1,6,6
wo bleiben,42,5,9,8,13,2,5
donald trump,42,10,5,8,1,10,8
julian assange,42,1,11,27,1,1,1
horst seehofer,42,1,15,7,5,5,9
meine anfragen,42,0,14,12,8,0,8
mensch sterben,42,2,5,23,2,7,3
ich leute,42,3,1,22,9,3,4
ausbau erneuerbaren,41,1,23,3,0,13,1
epidemischen lage,41,3,9,4,5,4,16
jahr corona,41,1,13,6,1,2,18
ein paar,41,2,8,13,4,5,9
jahr 2020,41,6,9,16,5,2,3
we are,41,7,9,9,0,15,1
aus sicht,41,12,4,8,2,13,2
land brauchen,41,3,5,7,1,6,19
ich bekommen,41,6,5,16,4,3,7
kommend woche,41,7,11,6,4,6,7
reden ich,41,4,10,10,4,9,4
ich gemeinsam,41,7,7,12,4,7,4
erneuerbare energie,41,3,18,6,1,10,3
können mal,41,6,6,12,5,10,2
warn app,41,8,0,13,2,12,6
ich treten,40,5,11,15,4,3,2
17 uhr,40,4,11,15,2,6,2
in woche,40,8,3,14,1,10,4
laschet scholz,40,0,28,4,1,7,0
grün rot,40,7,10,3,1,1,18
sondersitzung bundestag,40,2,9,5,3,3,18
pro jahr,40,1,11,8,5,7,8
mensch land,40,2,8,7,7,4,12
150 jahr,40,1,2,20,7,10,0
platzen landesliste,40,3,11,12,1,8,5
glückwunsch ich,40,10,13,3,1,9,4
uhr diskutieren,40,5,10,11,1,3,10
wählen bekommen,40,6,8,10,6,5,5
bundesweit mietendeckel,40,1,0,39,0,0,0
sich lieb,40,1,25,1,0,3,10
ich schaffen,40,7,3,8,4,14,4
schön ich,40,5,8,5,7,9,6
afd berlin,40,0,0,0,40,0,0
grün schwarz,40,2,13,5,0,8,12
mal mein,40,8,4,11,6,5,6
maske tragen,40,7,1,7,9,8,8
journalist innen,39,0,18,13,0,6,2
land ich,39,6,8,5,2,11,7
ja genau,39,4,6,6,3,10,10
schule kita,39,6,9,8,1,9,6
with the,39,7,4,9,2,14,3
ich erleben,39,3,3,8,7,5,13
jahr pandemie,39,0,14,2,0,3,20
jahr bundestag,39,4,5,9,10,10,1
ich partei,39,4,2,14,9,4,6
sehr lesenswert,39,3,14,1,1,13,7
brauchen starke,39,6,7,15,1,7,3
am samstag,39,8,10,8,3,8,2
