hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
verlassen,6,1,0,4,0,1,0,0
hälfte,6,4,0,1,1,0,0,0
einig,6,2,0,3,0,0,1,0
chance,6,3,0,2,0,1,0,0
unterschrift,6,3,0,1,1,0,1,0
sinken,6,5,1,0,0,0,0,0
eigentümer,6,3,0,1,0,2,0,0
dauerhaft,6,2,0,2,1,1,0,0
davon,6,4,0,0,1,1,0,0
hören,6,2,0,2,0,2,0,0
debatte,6,4,0,2,0,0,0,0
demonstrieren,6,3,0,2,0,1,0,0
haushalt,6,1,2,1,1,1,0,0
sozialwohnung,6,5,0,1,0,0,0,0
stadtentwicklung,6,2,0,4,0,0,0,0
verbieten,6,3,0,0,0,2,1,0
grundgesetz,6,1,3,0,0,2,0,0
bürgermeister,6,3,2,0,0,0,1,0
gesellschaft,6,1,0,5,0,0,0,0
um,6,2,0,2,1,0,1,0
interessant,6,4,0,2,0,0,0,0
kita,6,3,0,2,0,0,1,0
sanierung,6,2,0,4,0,0,0,0
erklären,6,1,0,4,0,0,1,0
kampf,6,6,0,0,0,0,0,0
bilanz,6,2,0,3,0,0,1,0
bitte,6,2,1,3,0,0,0,0
bitter,6,3,0,1,0,0,2,0
schutz,6,4,0,2,0,0,0,0
bverfg,6,2,0,2,1,1,0,0
instrument,6,3,0,3,0,0,0,0
volksbegehren,6,5,0,1,0,0,0,0
urteilen,6,2,0,1,3,0,0,0
sebastian,6,6,0,0,0,0,0,0
seit,6,3,0,3,0,0,0,0
gemeinwohlorientierten,6,4,0,2,0,0,0,0
gerecht,6,1,0,5,0,0,0,0
nochmal,6,5,0,1,0,0,0,0
fallen,6,2,1,0,0,0,3,0
mehr,6,6,0,0,0,0,0,0
argument,6,4,0,1,0,0,1,0
passt,6,2,0,3,1,0,0,0
200,6,2,0,3,0,1,0,0
passieren,6,4,0,2,0,0,0,0
plus,6,1,0,4,1,0,0,0
mietpreisbremse,6,3,0,0,3,0,0,0
wohnungsunternehmen,6,2,0,3,0,0,1,0
ne,6,4,0,2,0,0,0,0
priorität,6,6,0,0,0,0,0,0
normal,6,3,3,0,0,0,0,0
niedrig,6,2,0,1,0,3,0,0
aufgrund,6,2,0,4,0,0,0,0
anteil,6,6,0,0,0,0,0,0
mietrecht,6,2,0,2,2,0,0,0
morgen,6,4,0,0,1,0,1,0
aktuell,6,4,0,2,0,0,0,0
arbeit,5,3,0,1,0,0,1,0
erzählen,5,1,1,3,0,0,0,0
regulieren,5,3,0,1,0,1,0,0
einführen,5,0,0,4,1,0,0,0
zwangsräumungen,5,4,0,1,0,0,0,0
vorschlag,5,2,0,2,0,1,0,0
kultur,5,3,1,1,0,0,0,0
schlecht,5,1,0,2,0,1,1,0
regulierung,5,2,1,2,0,0,0,0
kreuzberg,5,1,1,3,0,0,0,0
verwaltung,5,1,0,1,0,3,0,0
direkt,5,3,0,2,0,0,0,0
spalten,5,4,0,0,0,1,0,0
teuer,5,1,0,2,0,0,2,0
jed,5,3,0,1,0,0,1,0
unternehmen,5,0,0,1,0,4,0,0
spannen,5,0,0,3,1,0,1,0
lwus,5,0,0,5,0,0,0,0
beziehen,5,2,0,2,0,1,0,0
bereiten,5,1,1,2,0,0,1,0
schnellen,5,2,0,2,0,1,0,0
ankaufen,5,3,0,2,0,0,0,0
nachricht,5,2,0,2,0,1,0,0
cdurausausderregierung,5,5,0,0,0,0,0,0
genehmigen,5,4,1,0,0,0,0,0
zumal,5,2,0,3,0,0,0,0
organisieren,5,2,0,2,0,0,1,0
bettina,5,1,0,4,0,0,0,0
betreffen,5,5,0,0,0,0,0,0
wollen,5,2,0,1,0,1,1,0
weder,5,1,0,3,1,0,0,0
mann,5,1,2,1,1,0,0,0
malen,5,2,0,0,1,2,0,0
16,5,4,0,1,0,0,0,0
belasten,5,1,0,2,1,1,0,0
freifläche,5,1,0,4,0,0,0,0
fraktion,5,2,1,2,0,0,0,0
knapp,5,5,0,0,0,0,0,0
dazu,5,4,0,1,0,0,0,0
klären,5,2,0,1,1,1,0,0
tat,5,3,1,0,1,0,0,0
berichten,5,3,0,1,0,0,1,0
mitglied,5,2,0,0,0,0,3,0
obwohl,5,2,1,0,0,1,1,0
man,5,3,0,2,0,0,0,0
kommunal,5,3,0,2,0,0,0,0
bei,5,1,1,3,0,0,0,0
kampagne,5,1,0,0,0,0,4,0
damit,5,2,0,2,0,0,1,0
vs,5,0,0,5,0,0,0,0
profitieren,5,1,3,1,0,0,0,0
bedeuten,5,2,0,2,0,1,0,0
weiß,5,2,1,2,0,0,0,0
sozialismus,5,1,4,0,0,0,0,0
mietwohnung,5,1,3,1,0,0,0,0
weiter,5,3,1,1,0,0,0,0
tun,5,4,0,1,0,0,0,0
pandemie,5,3,1,1,0,0,0,0
übernehmen,5,1,1,1,0,2,0,0
funktionieren,5,3,0,2,0,0,0,0
preisen,5,3,1,1,0,0,0,0
wahlkampf,5,1,0,2,1,0,1,0
ansage,5,1,0,0,0,2,2,0
halt,5,2,0,2,0,1,0,0
beziehungsweise,5,2,0,1,1,1,0,0
fehlend,5,1,0,2,0,2,0,0
straße,5,4,0,1,0,0,0,0
verbot,5,1,1,2,0,1,0,0
investieren,5,3,0,2,0,0,0,0
vor,5,1,0,3,1,0,0,0
boden,5,4,0,1,0,0,0,0
angebot,5,2,0,2,1,0,0,0
gewinnen,5,2,0,2,0,1,0,0
versuchen,5,3,0,1,0,1,0,0
verteilen,5,3,0,2,0,0,0,0
stand,5,4,0,1,0,0,0,0
wo,5,0,0,2,0,1,2,0
bvv,5,4,0,0,1,0,0,0
gruene,5,0,4,1,0,0,0,0
gemeinwohlorientiert,5,1,0,4,0,0,0,0
eigentlich,5,1,3,1,0,0,0,0
ausgeben,5,2,0,0,0,1,2,0
eigenheim,5,2,1,2,0,0,0,0
na,5,2,1,0,0,0,2,0
alle,5,2,2,1,0,0,0,0
btw21,5,4,0,0,1,0,0,0
ines,5,5,0,0,0,0,0,0
