,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-05-08,0.21666666666666667,0.05,0.016666666666666666,0.45,0.5,,0.016666666666666666,0.014956020286902637,0.006127450980392157,0.0015151515151515152,0.010496969386590288,0.009854991283619866,,0.000980392156862745
2021-05-09,0.2,0.05,0.016666666666666666,0.45,0.5166666666666667,,0.016666666666666666,0.013567131398013748,0.006127450980392157,0.0015151515151515152,0.010496969386590288,0.010375824616953199,,0.000980392156862745
2021-05-10,0.2,0.05,0.016666666666666666,0.45,0.4666666666666667,,0.016666666666666666,0.013567131398013748,0.006127450980392157,0.0015151515151515152,0.010496969386590288,0.009880775112002704,,0.000980392156862745
2021-05-11,0.2,0.016666666666666666,0.016666666666666666,0.43333333333333335,0.4666666666666667,,0.016666666666666666,0.013567131398013748,0.004166666666666667,0.0015151515151515152,0.010006773308158915,0.009880775112002704,,0.000980392156862745
2021-05-12,0.2,0.016666666666666666,0.016666666666666666,0.43333333333333335,0.4666666666666667,,0.016666666666666666,0.013567131398013748,0.004166666666666667,0.0015151515151515152,0.010006773308158915,0.009880775112002704,,0.000980392156862745
2021-05-13,0.23333333333333334,0.016666666666666666,0.016666666666666666,0.4166666666666667,0.48333333333333334,,0.016666666666666666,0.015527915711739238,0.004166666666666667,0.0015151515151515152,0.009568176816930845,0.01081728304851064,,0.000980392156862745
2021-05-14,0.23333333333333334,0.016666666666666666,0.016666666666666666,0.4166666666666667,0.4666666666666667,,0.016666666666666666,0.014370508304331833,0.004166666666666667,0.0015151515151515152,0.009568176816930845,0.010261727492955085,,0.000980392156862745
2021-05-15,0.23333333333333334,0.016666666666666666,0.016666666666666666,0.4,0.4666666666666667,,0.016666666666666666,0.014370508304331833,0.004166666666666667,0.0015151515151515152,0.009247663996418024,0.010261727492955085,,0.000980392156862745
2021-05-16,0.23333333333333334,0.016666666666666666,0.016666666666666666,0.36666666666666664,0.4666666666666667,,0.016666666666666666,0.014370508304331833,0.004166666666666667,0.0015151515151515152,0.008580997329751356,0.010261727492955085,,0.000980392156862745
2021-05-17,0.23333333333333334,0.0,0.03333333333333333,0.38333333333333336,0.4666666666666667,,0.05,0.014370508304331833,0.0,0.0022397891963109357,0.009019593820979426,0.010261727492955085,,0.004313725490196079
