hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
können,12,4,2,4,0,1,1,0
zahlen,12,3,0,6,2,1,0,0
bewegen,12,1,0,4,1,3,3,0
betroffene,12,4,0,6,1,1,0,0
berichten,12,5,0,6,1,0,0,0
neukölln,12,2,0,9,1,0,0,0
spaßen,12,5,0,6,0,0,1,0
via,12,4,1,4,1,0,2,0
bestehen,12,3,1,4,0,2,2,0
schwer,12,5,0,5,1,1,0,0
12,12,6,0,1,4,0,1,0
19,12,4,1,1,3,1,2,0
breit,12,3,0,7,1,0,1,0
aufgabe,12,2,2,3,1,3,1,0
aufnehmen,12,2,1,6,1,2,0,0
mögen,12,2,0,3,3,0,3,1
covid19,12,0,4,5,3,0,0,0
chance,12,3,0,6,1,1,1,0
pankow,12,2,2,4,4,0,0,0
hochschule,12,8,0,3,1,0,0,0
bahn,12,2,0,4,2,2,2,0
herr,12,1,1,7,1,0,2,0
rassismus,12,4,0,7,1,0,0,0
entwickeln,12,3,0,5,0,2,2,0
konkret,12,1,0,6,1,4,0,0
dieser,12,2,0,6,2,0,2,0
tollen,12,4,0,5,2,0,1,0
diese,11,2,1,4,3,0,1,0
passieren,11,3,0,5,0,2,1,0
september,11,0,4,2,3,1,1,0
öpnv,11,7,0,1,1,1,1,0
gesellschaftlich,11,7,0,4,0,0,0,0
ernst,11,4,2,2,1,1,1,0
nix,11,4,0,4,3,0,0,0
wirtschaft,11,1,2,7,0,0,1,0
euro,11,5,2,4,0,0,0,0
übernehmen,11,3,0,2,2,1,3,0
fehlen,11,4,1,3,1,1,1,0
kollege,11,1,1,3,1,3,1,1
anhörung,11,2,0,4,3,2,0,0
bereiten,11,4,0,4,1,0,2,0
egal,11,1,1,6,2,0,1,0
twitter,11,5,1,2,3,0,0,0
sport,11,1,0,5,0,3,2,0
täglich,11,6,0,4,0,0,1,0
organisation,11,3,3,3,1,1,0,0
funktionieren,11,2,1,4,1,1,2,0
bestimmen,11,2,0,3,2,3,1,0
schüler,11,5,0,4,1,1,0,0
lässt,11,0,0,7,1,1,2,0
offensichtlich,11,6,2,1,0,1,1,0
