,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-07-19,0.1,0.1,0.16666666666666666,0.6,1.3166666666666667,,0.11666666666666667,0.004302123061276376,0.030714285714285704,0.032640028816499404,0.017908737455070354,0.03241023580761027,,0.006785581222056634
2021-07-20,0.1,0.08333333333333333,0.15,0.55,1.3166666666666667,,0.11666666666666667,0.004302123061276376,0.022380952380952373,0.03131727749374809,0.01457540412173702,0.032600711998086465,,0.006785581222056634
2021-07-21,0.1,0.06666666666666667,0.15,0.55,1.3166666666666667,,0.11666666666666667,0.004302123061276376,0.019999999999999993,0.03131727749374809,0.014743612700374529,0.03341089718327165,,0.006785581222056634
2021-07-22,0.1,,0.15,0.55,1.3333333333333333,,0.11666666666666667,0.004302123061276376,,0.03131727749374809,0.014743612700374529,0.03405192282429729,,0.006785581222056634
2021-07-23,0.1,,,0.55,1.3333333333333333,,0.11666666666666667,0.004302123061276376,,,0.014743612700374529,0.03456935201819707,,0.006785581222056634
2021-07-24,0.1,0.06666666666666667,0.15,0.55,1.3333333333333333,,0.11666666666666667,0.004302123061276376,0.019999999999999993,0.03131727749374809,0.014743612700374529,0.03456935201819707,,0.006785581222056634
2021-07-25,0.1,,0.15,0.5666666666666667,1.3166666666666667,,0.11666666666666667,0.004302123061276376,,0.03131727749374809,0.016965834922596748,0.03419056413940919,,0.006785581222056634
2021-07-26,0.1,,0.15,0.55,1.1833333333333333,,0.11666666666666667,0.004302123061276376,,0.03131727749374809,0.01719731640407823,0.030938531619083987,,0.006785581222056634
2021-07-27,0.1,0.06666666666666667,0.15,0.5333333333333333,1.1666666666666667,,0.11666666666666667,0.004302123061276376,0.019999999999999993,0.03131727749374809,0.016641760848522674,0.030576212778504273,,0.006785581222056634
2021-07-28,0.11666666666666667,0.06666666666666667,0.15,0.5333333333333333,1.15,,0.11666666666666667,0.005059698818852134,0.019999999999999993,0.03131727749374809,0.016641760848522674,0.03007116227345377,,0.006785581222056634
2021-07-29,0.13333333333333333,0.06666666666666667,0.15,0.5333333333333333,1.15,,0.11666666666666667,0.0056769827694694176,0.019999999999999993,0.03131727749374809,0.016641760848522674,0.03007116227345377,,0.006785581222056634
2021-07-30,0.16666666666666666,0.05,0.15,0.48333333333333334,0.9666666666666667,,0.1,0.006959034051520699,0.015833333333333324,0.03131727749374809,0.015290409497171325,0.026545521247812745,,0.006028005464480876
2021-07-31,0.16666666666666666,0.05,0.15,0.4166666666666667,0.8833333333333333,,0.1,0.006959034051520699,0.015833333333333324,0.03131727749374809,0.014160465994346465,0.02510873963861734,,0.006028005464480876
2021-08-01,0.16666666666666666,0.03333333333333333,0.13333333333333333,0.4166666666666667,0.8666666666666667,0.016666666666666666,0.08333333333333333,0.006959034051520699,0.007499999999999992,0.02980212597859657,0.014160465994346465,0.024821383316778262,0.016666666666666666,0.0026946721311475424
2021-08-02,0.16666666666666666,,0.13333333333333333,0.4166666666666667,0.8666666666666667,,0.08333333333333333,0.006959034051520699,,0.02980212597859657,0.014160465994346465,0.025064438872333818,,0.0026946721311475424
2021-08-03,0.15,0.05,0.13333333333333333,0.4166666666666667,0.8833333333333333,,0.08333333333333333,0.005847922940409589,0.010833333333333325,0.02980212597859657,0.01420625354013401,0.025615909460569113,,0.0026946721311475424
2021-08-04,0.15,0.05,0.13333333333333333,0.4166666666666667,0.8666666666666667,0.016666666666666666,0.06666666666666667,0.005847922940409589,0.010833333333333325,0.02980212597859657,0.01420625354013401,0.02528257612723578,0.016666666666666666,0.001653005464480876
2021-08-05,0.15,0.05,0.13333333333333333,0.43333333333333335,0.8666666666666667,0.016666666666666666,0.06666666666666667,0.005847922940409589,0.010833333333333325,0.02980212597859657,0.014801491635372106,0.02528257612723578,0.016666666666666666,0.001653005464480876
2021-08-06,0.15,0.05,0.13333333333333333,0.4166666666666667,0.85,,0.06666666666666667,0.005847922940409589,0.010833333333333325,0.02980212597859657,0.014226778991693945,0.024990178466417063,,0.001653005464480876
2021-08-07,0.15,0.05,0.11666666666666667,0.4166666666666667,0.8,,0.06666666666666667,0.005847922940409589,0.010833333333333325,0.02861164978812038,0.014251145463428838,0.0243246327189041,,0.001653005464480876
2021-08-08,0.15,0.05,0.13333333333333333,0.43333333333333335,0.8,,0.06666666666666667,0.005847922940409589,0.010833333333333325,0.02936922554569614,0.014621515833799208,0.0243246327189041,,0.001653005464480876
2021-08-09,0.15,0.05,0.13333333333333333,0.43333333333333335,0.8166666666666667,0.016666666666666666,0.06666666666666667,0.005847922940409589,0.010833333333333325,0.030769785769785774,0.014746788164953895,0.024668692625805535,0.016666666666666666,0.001653005464480876
2021-08-10,0.15,0.05,0.11666666666666667,0.4,0.8333333333333334,,0.05,0.005847922940409589,0.010833333333333325,0.02743645243645244,0.013820862239027969,0.0250853592924722,,0.0008196721311475426
2021-08-11,0.16666666666666666,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.8333333333333334,0.016666666666666666,0.05,0.006403478495965145,0.01499999999999999,0.03021423021423022,0.012487528905694635,0.0250853592924722,0.016666666666666666,0.0008196721311475426
2021-08-12,0.18333333333333332,0.05,0.13333333333333333,0.35,0.9166666666666666,,0.05,0.007329404421891071,0.010833333333333325,0.03021423021423022,0.01272907479941444,0.02675202595913887,,0.0008196721311475426
2021-08-13,0.18333333333333332,,0.13333333333333333,0.38333333333333336,0.8833333333333333,,0.05,0.007329404421891071,,0.03021423021423022,0.01340934690825798,0.026177313315460707,,0.0008196721311475426
2021-08-14,0.18333333333333332,0.05,0.15,0.43333333333333335,0.8833333333333333,,0.05,0.007329404421891071,0.010833333333333325,0.03140470640470641,0.014545167089989208,0.026177313315460707,,0.0008196721311475426
2021-08-15,0.18333333333333332,0.05,0.15,0.43333333333333335,0.8666666666666667,,0.05,0.007329404421891071,0.010833333333333325,0.03140470640470641,0.014545167089989208,0.0259357674217409,,0.0008196721311475426
2021-08-16,0.18333333333333332,0.05,0.15,0.38333333333333336,0.8666666666666667,,0.0,0.006880058016662313,0.010833333333333325,0.03140470640470641,0.013895816440638559,0.02602780222763113,,1.61907524424502e-18
2021-08-17,0.18333333333333332,0.06666666666666667,0.16666666666666666,0.4,0.9,0.016666666666666666,0.016666666666666666,0.006880058016662313,0.014166666666666657,0.03418248418248419,0.014513100391255843,0.026497285795706246,0.016666666666666666,0.002777777777777779
